k,Accuracy,Precision,Recall,F1
1,0.89748045178106,0.8733333333333333,0.8656387665198237,0.8694690265486725
3,0.9018245004344049,0.8814317673378076,0.8678414096916299,0.8745837957824639
5,0.8992180712423979,0.8789237668161435,0.8634361233480177,0.8711111111111111
7,0.9052997393570807,0.8929384965831435,0.8634361233480177,0.8779395296752519
9,0.9061685490877498,0.8931818181818182,0.8656387665198237,0.8791946308724832
11,0.9026933101650738,0.8904109589041096,0.8590308370044053,0.874439461883408
