Algorithm,Training(s),Prediction(s)
Gaussian NB,0.0017857551574707031,0.0005476474761962891
Multinomial NB,0.0012505054473876953,0.0001690387725830078
Bernoulli NB,0.002287149429321289,0.0006055831909179688
Best KNN,0.0056400299072265625,0.11351466178894043
