Model,Accuracy,Precision,Recall,F1,ROC-AUC,Train_Time,Pred_Time
Gaussian NB,0.8253692441355344,0.7077175697865353,0.9493392070484582,0.8109125117591721,0.9367711842446229,0.0028760433197021484,0.0006265640258789062
Multinomial NB,0.9000868809730669,0.9472295514511874,0.7907488986784141,0.8619447779111644,0.961433203344731,0.0031752586364746094,0.0002639293670654297
Bernoulli NB,0.8835794960903562,0.8738317757009346,0.8237885462555066,0.8480725623582767,0.9478412832845613,0.002682209014892578,0.0007150173187255859
